model_id,raw_mae,groupcv_offset_mae,groupcv_affine_mae
qwen3-30b-a3b-instruct-2507,4.247422680412371,4.467992512693062,3.727805661806303
ministral-3-14b-2512,5.076923076923077,5.635246172232808,5.373426917548833
gpt-5.5,5.790123456790123,5.487909850109162,5.4935184573739315
claude-opus-5,7.018315018315018,6.64205456787927,6.316836645585651
llama-3.3-70b-instruct,7.839464882943144,8.414435146443513,7.173420282111954
gpt-oss-120b,8.629166666666666,7.4663628472222205,6.871904751831628
deepseek-v4-flash,9.651960784313726,9.856701099412097,9.16077010864723
gemma-3-12b-it,15.795081967213115,16.546104091068962,15.434551951145739
deepseek-v3.2,16.51145038167939,14.705070795038372,14.011872430940791
gemini-3.1-pro-preview,24.46511627906977,20.07141665112352,20.42600638158462
