model_id,n_questions,n_sentences,global_spearman,mean_within_post_spearman,pairwise_order_agreement,live_max_is_post_max,live_max_in_post_top2,bias_live_minus_post,mae_live_post,within_post_spearman_ci_low,within_post_spearman_ci_high
claude-opus-5,37,273,0.8220768377606903,0.8204417970445123,0.8655172413793103,0.5675675675675675,0.8918918918918919,4.102564102564102,7.018315018315018,0.7516827771021697,0.8778807858282714
gpt-5.5,40,243,0.7141732595747046,0.8174117390993333,0.8637110016420362,0.725,0.875,-3.8230452674897117,5.790123456790123,0.7665000656060309,0.8643068531346303
llama-3.3-70b-instruct,40,299,0.689753334977345,0.6850972062983853,0.8017148981779206,0.7,0.775,4.11371237458194,7.839464882943144,0.5847547058641492,0.7714409944625266
gpt-oss-120b,40,240,0.36878084407322015,0.6395469606719475,0.7923809523809524,0.525,0.725,-5.8875,8.629166666666666,0.5543614456783993,0.7184893948450181
ministral-3-14b-2512,12,78,0.5372031157798322,0.5214478885698538,0.7188940092165899,0.25,0.6666666666666666,-1.3076923076923077,5.076923076923077,0.3095426437365598,0.7119245619745763
deepseek-v4-flash,32,204,0.42562760721508097,0.5038723015465167,0.723404255319149,0.4375,0.6875,2.073529411764706,9.651960784313726,0.34997452149367786,0.6406995251571698
gemma-3-12b-it,35,244,0.507171666300044,0.4908163265306123,0.7050754458161865,0.2,0.3142857142857143,4.934426229508197,15.795081967213115,0.38670918367346946,0.5918367346938777
deepseek-v3.2,18,131,0.22634710294153437,0.4437206629441914,0.689922480620155,0.4444444444444444,0.6111111111111112,-10.86259541984733,16.51145038167939,0.22024324017348376,0.6461815288816597
gemini-3.1-pro-preview,40,258,0.29572324882354156,0.3449568287673107,0.6592,0.3,0.525,-23.356589147286822,24.46511627906977,0.21538503959574706,0.47507367125683236
qwen3-30b-a3b-instruct-2507,39,291,0.26877350623927504,0.3290026078140031,0.6493011435832274,0.358974358974359,0.5128205128205128,0.7422680412371134,4.247422680412371,0.18439195312875625,0.4622436192860834
